Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,,,,,,,Protéines,"69,48",g,,,,Calcium,"29,8",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lipides,"14,58",g,,,,Vitamines C,"0,41",mg,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glucides,0,g,,Lardons fumés,100 g,Calories,272,kcal,,,,,,,,,,,,,,,,,,,,
,,,,,,,Calcium,"37,08",mg,,,,Protéines,"16,7",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,"11,16",mg,,,,Lipides,"22,6",g,,,,,,,,,,,,,,,,,,,,
Papillote de poisson aux légumes,100,g,Poisson local,Poissonnerie,"Coupez les oignons et les légumes, puis faites les dorer à la poêle avec de l'huile d'olive jusqu'à coloration.

Pendant ce temps, couper les filets de poisson en 4, puis faites-les mariner dans l'huile d'olive, le jus de citron, le sel et le poivre pendant environ 30 minutes.

Disposez les légumes dans un plat ou dans une croûte d'argile, puis ajoutez le poisson, une goutte d'huile d'olive et assaisonnez. 

Couvrez le plat ou refermez la croûte d'argile, et faites cuire 20 minutes le poisson dans les braises. Retirez du feu à la fin de la cuisson, cassez le croûte et servez chaud.",N'hésitez pas à rajouter des herbes et des épices sur le poisson avant la cuisson !,Calories,"178,384",kcal,,,,Glucides,"0,35",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Protéines,"23,0266",g,,,,Calcium,"18,2",mg,,,,,,,,,,,,,,,,,,,,
,200,g,Légumes de saison,Primeur ou producteur,,,Lipides,"6,443",g,,,,Vitamines C,"0,9",mg,,,,,,,,,,,,,,,,,,,,
,"0,2",,Citrons,Primeur ou producteur,,,Glucides,"5,4315",g,,Parmesan,100 g,Calories,429,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à s.,Huile d'olive,Épicerie,,,Calcium,"51,934375",mg,,,,Protéines,"34,5",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"15,575",mg,,,,Lipides,"32,7",g,,,,,,,,,,,,,,,,,,,,
Pavé de poisson à la normande,100,g,Poisson blanc,Poissonnerie,"Pelez les pommes, puis coupez-les en dés. Faites-les revenir dans une poêle chaude et réservez.

Faites chauffer l'huile d'olive dans une casserole, coupez finement les échalotes et faites-les revenir dans la poêle. Ajoutez la crème, salez et poivrez.

Déposez les filets de poisson dans un plat, ajoutez les dés de pomme et la sauce, couvrez et mettez sur le feu pour une bonne dizaine de minutes. Servez aussitôt.",,Calories,"409,91",kcal,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Pommes,Primeur ou producteur,,,Protéines,"23,489875",g,,,,Calcium,1160,mg,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"32,50375",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Échalotes,Primeur ou producteur,,,Glucides,"5,52125",g,,Pignons de pin,100 g,Calories,695,kcal,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Calcium,"70,9105",mg,,,,Protéines,"13,7",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"1,958875",mg,,,,Lipides,65,g,,,,,,,,,,,,,,,,,,,,
Couscous simplifié,2,,Merguez,Boucherie,"Lavez et épluchez les légumes et les couper en cubes de taille moyenne. Dans une casserole, mettez les légumes, les épices, et remplissez d'eau à hauteur des légumes, puis faites cuire une bonne demi-heure, le temps que tous les légumes soient presque fondants. Ajoutez les courgettes et les pois chiches, puis refaites cuire 20 minutes.

A côté de cela, faites griller les merguez au barbecue.

Servez le tout ensemble, bien chaud.

Option végétarienne : Il suffit de retirer la viande et de rajouter des légumineuses à la place.","N'hésitez pas à ajouter du piment dans les légumes, selon vos goûts !",Calories,"732,6227498",kcal,,,,Glucides,"6,31",g,,,,,,,,,,,,,,,,,,,,
,"0,8333333333",,Carottes,Primeur ou producteur,,,Protéines,"34,09276494",g,,,,Calcium,"6,2",mg,,,,,,,,,,,,,,,,,,,,
,"1,666666667",,Navets,Primeur ou producteur,,,Lipides,"38,13637332",g,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,3333333333",,Courgettes,Primeur ou producteur,,,Glucides,"54,07315008",g,,1 Aubergine,300 g,Calories,"63,6",kcal,,,,,,,,,,,,,,,,,,,,
,"66,66666667",g,Pois chiches,Primeur ou producteur,,,Calcium,"262,1530001",mg,,,,Protéines,"3,36",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Épices à couscous,Épicerie,,,Vitamines C,"81,72916641",mg,,,,Lipides,"0,42",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,"7,17",g,,,,,,,,,,,,,,,,,,,,
Chili con carne,100,g,Viande hachée,Boucherie,"Préparez et coupez-les oignons et les poivrons en petits morceaux. 

Chauffez l'huile dans une cocotte, et faites-y cuire la viande hachée à feu vif tout en séparant bien la viande. Ajoutez les oignons et les poivrons. Faire revenir à feu vif 2 ou 3 minutes en remuant de temps en temps. Ajouter les épices et assaisonnez, puis mélangez bien.

Ajoutez les haricots rouges et le maïs avec leur jus et les tomates. Mélangez bien et rectifiez les assaisonnements. Laissez mijoter 10 minutes et servez bien chaud.

Option végétarienne : Il sufit d'enlever la viande hachée et de la remplacer par des lentilles cuites.","N'hésitez pas à rajouter du piment  et des épices dans le chili, selon vos goûts !",Calories,"522,72275",kcal,,,,Calcium,"26,1",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Protéines,"30,842765",g,,,,Vitamines C,"6,3",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Poivrons,Primeur ou producteur,,,Lipides,"23,24054",g,,Chair à saucisse,100 g,Calories,273,kcal,,,,,,,,,,,,,,,,,,,,
,50,g,Haricots rouges,Primeur ou producteur,,,Glucides,"40,64565",g,,,,Protéines,"15,4",g,,,,,,,,,,,,,,,,,,,,
,50,g,Maïs,Primeur ou producteur,,,Calcium,"75,93825",mg,,,,Lipides,"21,2",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Vitamines C,"136,3975",mg,,,,Glucides,"5,25",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Épices chili,Épicerie,,,,,,,,,Calcium,14,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Vitamines C,"0,7",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,Lentilles corail,100 g,Calories,328,kcal,,,,,,,,,,,,,,,,,,,,
Tomates farcies,125,g,Chair à saucisse,Boucherie,"Coupez les oignons et l'ail très finement. Coupez le haut des tomates, videz la chair des tomates. Mettez les oignons et l'ail dans une poêle, faites-les revenir dans une poêle avec l'huile d'olive puis ajoutez la chair de tomate et faites bien revenir le tout 10 minutes. 

Mélangez le chair à saucisse à celle de tomate cuite, assaisonnez, puis remplissez les tomates avec cela. Refermez les tomates avec les chapeaux, mettez-les dans un plat, couvrez-les, et mettez-le plat dans les braises une bonne demi-heure au moins. Vérifiez la cuisson de la viande et remettez sur le feu si la viande n'est pas assez cuite. Servez les tomates bien chaudes.

Option végétarienne : Il suffit de changer la chair à saucisse par de la mie de pain aux céréales ou de pain noir.",,Calories,"474,45",kcal,,,,Protéines,"27,7",g,,,,,,,,,,,,,,,,,,,,
,1,,Tomates,Primeur ou producteur,,,Protéines,"21,49275",g,,,,Lipides,"0,8",g,,,,,,,,,,,,,,,,,,,,
,"0,75",,Oignons,Primeur ou producteur,,,Lipides,"34,966",g,,,,Glucides,"44,9",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"16,38375",g,,,,Calcium,29,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Calcium,"55,97025",mg,,,,Vitamines C,"0,5",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"21,215",mg,,Lait de coco,100 mL,Calories,188,kcal,,,,,,,,,,,,,,,,,,,,
Poulet basquaise,100,g,Poulet,Boucherie,"Hachez l'oignon et l'ail, et coupez le poulet, les tomates et poivrons en petits morceaux.

Faites chauffer l'huile dans une cocotte et faites-y dorer les oignons, l'ail et les poivron pendant 5 bonnes minutes. Ajoutez les tomates à la cocotte, salez, poivrez et ajoutez le piment. Couvrez et laissez mijoter 20 minutes.

Dans une sauteuse, faites dorer dans l'huile d'olive les morceaux de poulet salés et poivrés.
Lorsqu'ils sont dorés, ajoutez-les aux légumes, couvrez, et laissez mijoter 35 minutes de cuisson. Servez bien chaud.",N'hésitez pas à ajouter du chorizo ou d'autres garnitures locales dans la préparation !,Calories,"335,5530417",kcal,,,,Protéines,"1,77",g,,,,,,,,,,,,,,,,,,,,
,"1,666666667",,Tomates,Primeur ou producteur,,,Protéines,"31,61246584",g,,,,Lipides,"18,4",g,,,,,,,,,,,,,,,,,,,,
,1,,Poivrons,Primeur ou producteur,,,Lipides,"17,66835333",g,,,,Glucides,"3,4",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"10,22074167",g,,,,Calcium,18,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Calcium,"47,68116669",mg,,,,Vitamines C,1,mg,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"29,94708339",mg,,1 c. à c. Cumin,2 g,Calories,"8,54",kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",c. à c.,Piment d'Espelette,Épicerie,,,,,,,,,Protéines,"0,356",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"0,446",g,,,,,,,,,,,,,,,,,,,,
Poulet au curry,100,g,Poulet,Boucherie,"Hachez finement les oignons et coupez en morceaux le poulet.

Dans une poêle, faites revenir les oignons avec l'huile d'olive, et lorsqu'ils sont bien dorés, ajoutez le poulet. Faites le bien revenir pendant 2 ou 3 minutes. Ajoutez le curry en poudre et la crème fraîche, et laissez cuire 2 minutes en mélangeant bien. Assaisonnez et servez bien chaud.

Option végétarienne : Il suffit de retirer le poulet et de le remplacer par des légumes (carottes par exemples) ou des légumineuses (pois chiches par exemple).","N'hésitez pas à ajouter de la citronnelle, des oignons nouveaux ou du persil haché sur le dessus du curry !",Calories,"385,765",kcal,,,,Glucides,"0,674",g,,,,,,,,,,,,,,,,,,,,
,"0,75",c. à c.,Curry en poudre,Épicerie,,,Protéines,"31,4775",g,,,,Calcium,"18,62",mg,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"25,185",g,,,,Vitamines C,"0,154",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Glucides,"7,02195",g,,Chapelure,100 g,Calories,374,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Calcium,"78,16775",mg,,,,Protéines,"11,6",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"3,1855",mg,,,,Lipides,"3,77",g,,,,,,,,,,,,,,,,,,,,
Curry de porc,150,g,Porc,Boucherie,"Hachez finement les oignons et l'ail et coupez en morceaux le porc.

Dans une poêle, faites revenir les oignons et l'ail avec l'huile d'olive, et lorsqu'ils sont bien dorés, ajoutez le porc. Faites le bien revenir pendant 2 ou 3 minutes. Ajoutez le curry en poudre et la crème fraîche, et laissez cuire 2 minutes en mélangeant bien. Assaisonnez et servez bien chaud.

Option végétarienne : Il suffit de retirer le porc et de le remplacer par des légumes (carottes par exemples) ou des légumineuses (pois chiches par exemple).","N'hésitez pas à ajouter de la citronnelle, des oignons nouveaux ou du persil haché sur le dessus du curry !",Calories,"541,835",kcal,,,,Glucides,70,g,,,,,,,,,,,,,,,,,,,,
,"0,4",,Oignons,Primeur ou producteur,,,Protéines,"29,18525",g,,,,Calcium,"72,8",mg,,,,,,,,,,,,,,,,,,,,
,"0,4",,Gousses d'ail,Primeur ou producteur,,,Lipides,"44,2705",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Curry en poudre,Épicerie,,,Glucides,"5,5513",g,,Nouilles,100 g,Calories,371,kcal,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Calcium,"68,40525",mg,,,,Protéines,"11,9",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"3,0495",mg,,,,Lipides,3,g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Glucides,71,g,,,,,,,,,,,,,,,,,,,,
Fajitas,100,g,Poulet,Boucherie,"Coupez les poivrons et les oignons en petits morceaux, et faites-les cuire dans une poêle avec l'huile d'olive. Découpez le poulet en morceaux, et ajoutez-les aux légumes dans la poêle. Assaisonnez et ajoutez les épices chili.

Coupez les tomates en dés. 

Placez sur la table des petits bols contenant les tomates, la crème et le poulet chaud. Réchauffez les fajitas 5 minutes, dans un plat près du feu. 

Chaque jeune garnit sa fajita à sa guise, qu'il mange de la viande ou pas.","N'hésitez pas à ajouter de nouvelles garnitures en fonction de ce que vous avez proche de votre lieux de camp (fromage, légumes, etc.. ...) !",Calories,"499,6354165",kcal,,,,Calcium,"5,5",mg,,,,,,,,,,,,,,,,,,,,
,2,,Galettes de maïs ou de blé,Épicerie,,,Protéines,"38,61279833",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,6666666667",,Tomates,Primeur ou producteur,,,Lipides,"17,86953333",g,,Riz à risotto,100 g,Calories,352,kcal,,,,,,,,,,,,,,,,,,,,
,"0,3333333333",,Oignons,Primeur ou producteur,,,Glucides,"42,59901664",g,,,,Protéines,"7,04",g,,,,,,,,,,,,,,,,,,,,
,20,ml,Crème fraîche épaisse,Épicerie,,,Calcium,"76,51051654",mg,,,,Lipides,"0,91",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Poivrons,Primeur ou producteur,,,Vitamines C,"158,2914333",mg,,,,Glucides,78,g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Calcium,33,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Épices chili,Épicerie,,,,,,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,Pois chiches secs,100 g,Calories,351,kcal,,,,,,,,,,,,,,,,,,,,
Hamburger,1,,Steaks hachés,Boucherie,"Faites cuire les steaks hachés en les salant et poivrant. Hachez les oignons et faites-les revenir dans une poêle. Coupez les tomates en rondelles et le cornichons en lamelles.

Montez le hamburger, avec de la sauce sur chaque pain, puis le steak, le fromage, les oignons, la salade, les tomates, les cornichons et le pain du haut. Dégustez bien chaud.

Option végétarienne : Remplacez les steaks hachés par des steaks de haricots rouges ou des falafels.",N'hésitez pas à ajouter des garnitures et des sauces différentes !,Calories,"435,85",kcal,,,,Protéines,"20,5",g,,,,,,,,,,,,,,,,,,,,
,1,,Pains hamburger,Boulangerie,,,Protéines,"24,6915",g,,,,Lipides,"5,85",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Lipides,"19,7685",g,,,,Glucides,"47,5",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Tomates,Primeur ou producteur,,,Glucides,"36,5075",g,,,,Calcium,"90,5",mg,,,,,,,,,,,,,,,,,,,,
,10,g,Fromage local,Fromagerie,,,Calcium,"176,96",mg,,,,Vitamines C,"3,5",mg,,,,,,,,,,,,,,,,,,,,
,10,g,Salade verte,Primeur ou producteur,,,Vitamines C,"12,598",mg,,1 Fromage type coulommiers,250 g,Calories,"697,5",kcal,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Ketchup,Épicerie,,,,,,,,,Protéines,47,g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,57,g,,,,,,,,,,,,,,,,,,,,
Rougail saucisse,1,,Saucisses fumées,Boucherie,"Mettez les saucisses à bouillir dans de l'eau en piquant les saucisses. En attendant, émincez l'oignon et les tomates, et hachez l'ail et les piments.

Quand les saucisses sont prêtes, coupez-les en tranches de calibre moyen. Mettez-les dans une poêle avec l'huile d'olive. Mélangez un peu, quand les saucisses brunissent de chaque côté, ajoutez l'oignon, l'ail et le curcuma. Laissez tout cela ""compoter"" pendant 2 minutes, puis ajoutez le piment. Mélangez. Ajoutez les tomates, assaisonnez, mélangez bien. Couvrez, mélangez de temps en temps et laissez bien réduire la tomate. Servez bien chaud.",N'hésitez pas à ajouter du gingembre râpé si vous en avez !,Calories,"559,911",kcal,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Protéines,"40,684925",g,,,,Calcium,1000,mg,,,,,,,,,,,,,,,,,,,,
,"0,6",,Tomates,Primeur ou producteur,,,Lipides,"70,89925",g,,,,Vitamines C,0,mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Piments doux,Primeur ou producteur,,,Glucides,"7,17275",g,,1 piment doux,200 g,Calories,89,kcal,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Calcium,"310,704",mg,,,,Protéines,"3,74",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Curcuma,Épicerie,,,Vitamines C,"122,69575",mg,,,,Lipides,"0,64",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Glucides,"15,4",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,28,mg,,,,,,,,,,,,,,,,,,,,
Hachis parmentier,100,g,Viande hachée,Boucherie,"Hachez les oignons et l'ail, et faites-les revenir dans une poêle avec l'huile d'olive. Une fois dorés, ajoutez la viande hachée, assaisonnez et faites la cuire en la séparant bien.

Faites cuire les pommes de terre dans de l'eau bouillante, puis écrasez-les avec le beurre et le fromage, et assaisonnez.

Dans un plat, mettez la viande hachée sur le fond, puis recouvrez le tout d'écrasée de pommes de terre, couvrez puis remettez sur le feu une dizaine de minutes. Servez bien chaud.",N'hésitez pas à ajouter de la chapelure ou du fromage sur le hachis parmentier pour avoir un effet gratiné !,Calories,"502,025",kcal,,,,Vitamines C,310,mg,,,,,,,,,,,,,,,,,,,,
,"0,75",,Pommes de terre,Primeur ou producteur,,,Protéines,"24,08725",g,,Calamars,100 g,Calories,77,kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Lipides,"35,4785",g,,,,Protéines,"14,4",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Gousses d'ail,Primeur ou producteur,,,Glucides,"19,1525",g,,,,Lipides,"1,19",g,,,,,,,,,,,,,,,,,,,,
,20,g,Fromage râpé,Fromagerie,,,Calcium,"234,32025",mg,,,,Glucides,"2,17",g,,,,,,,,,,,,,,,,,,,,
,10,g,Beurre,Épicerie,,,Vitamines C,"17,6525",mg,,,,Calcium,"17,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,,,,,,,Vitamines C,"4,7",mg,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,Crevette,100 g,Calories,77,kcal,,,,,,,,,,,,,,,,,,,,
Croziflette,75,g,Crozet au sarrasin,Épicerie,"Faites cuire les crozets dans l'eau bouillante salée pendant 20 minutes.

Coupez les oignons en lamelles et faites-les revenir dans de l'huile d'olive jusqu'à ce qu'ils soient caramélisés. Ajoutez les lardons, puis 2 minutes plus tard la crème dans la poêle, et faites réduire le tout.

Égouttez les crozets. Mettez dans un plat à gratin une couche de crozet, une couche de crème, lardon et oignons, et ainsi de suite. Mettez au-dessus les reblochons coupés en 2, puis couvrez le tout, et faites cuire au feu jusqu'à ce que le reblochon commence à fondre au-dessus. Servez bien chaud.

Option végétarienne : Il suffit d'enlever les lardons, et soit les remplacer par des oignons, soit ne pas les remplacer.",N'hésitez pas à rajouter des morceaux de reblochon entre les couches de crozet !,Calories,"1062,25",kcal,,,,Protéines,"14,4",g,,,,,,,,,,,,,,,,,,,,
,50,g,Lardons fumés,Boucherie,,,Protéines,"45,66",g,,,,Lipides,"1,19",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"71,015",g,,,,Glucides,"2,17",g,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"58,4575",g,,,,Calcium,"17,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Reblochons,Fromagerie,,,Calcium,"655,24275",mg,,,,Vitamines C,"4,7",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"3,625",mg,,1 poulet entier,1800 g,Calories,2052,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"347,4",g,,,,,,,,,,,,,,,,,,,,
Tartiflette,2,,Pommes de terre,Primeur ou producteur,"Faites cuire les pommes de terre dans l'eau bouillante salée jusqu'à ce qu'elles soient fondantes.
Couper les oignons en lamelles et faites-les revenir dans de l'huile d'olive jusqu'à ce qu'ils soient caramélisés. Ajoutez les lardons, puis 2 minutes plus tard la crème dans la poêle, et faites réduire le tout.

Égouttez les pommes de terre et coupez-les en grosses tranches. Mettez dans un plat à gratin une couche de pommes de terre, une couche de crème, lardon et oignons, et ainsi de suite. Mettez au-dessus les reblochons coupés en 2, puis couvrez le tout, et faites cuire au feu jusqu'à ce que le reblochon commence à fondre au-dessus. Servez bien chaud.

Option végétarienne : Il suffit d'enlever les lardons, et soit les remplacer par des oignons, soit ne pas les remplacer.",N'hésitez pas à rajouter des morceaux de reblochon entre les couches de pommes de terre !,Calories,"940,95",kcal,,,,Lipides,"72,9",g,,,,,,,,,,,,,,,,,,,,
,50,g,Lardons fumés,Boucherie,,,Protéines,"40,23",g,,,,Glucides,0,g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Lipides,"69,125",g,,,,Calcium,"185,4",mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Oignons,Primeur ou producteur,,,Glucides,"36,3575",g,,,,Vitamines C,"55,8",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Reblochons,Fromagerie,,,Calcium,"683,84275",mg,,1 citron,120 g,Calories,"46,92",kcal,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à s.,Huile d'olive,Épicerie,,,Vitamines C,"41,425",mg,,,,Protéines,"1,008",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"0,84",g,,,,,,,,,,,,,,,,,,,,
Escalope de poulet aux champignons,100,g,Poulet,Boucherie,"Couper le poulet en gros morceaux, puis faites-le revenir dans l'huile pendant quelques minutes. Ajoutez l'oignon émincé, l'ail haché et assaisonnez. Mélangez le tout et faites revenir le tout jusqu'à ce que les oignons soient translucides.

Ajoutez les champignons et laissez cuire a couvert avec environ 50 cl d'eau pendant 10 minutes. Ajoutez la crème, et laissez cuire encore 5 minutes en ajustant l'assaisonnement, puis servez bien chaud.",N'hésitez pas à rajouter du fond de volaille ou du bouillon de volaille dans la sauce !,Calories,"307,1675",kcal,,,,Glucides,"3,72",g,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Protéines,"31,706125",g,,,,Calcium,"16,44",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Gousses d'ail,Primeur ou producteur,,,Lipides,"17,35475",g,,,,Vitamines C,"61,2",mg,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Glucides,"5,30275",g,,1 merguez,60 g,Calories,"189,6",kcal,,,,,,,,,,,,,,,,,,,,
,30,g,Champignons de Paris,Primeur ou producteur,,,Calcium,"63,54025",mg,,,,Protéines,"8,1",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Vitamines C,"2,86575",mg,,,,Lipides,"16,8",g,,,,,,,,,,,,,,,,,,,,
Porc au caramel,125,g,Poitrine de porc,Boucherie,"Coupez la poitrine de porc en gros morceaux en laissant la couenne. Mettez les morceaux dans une marmite chaude sans matière grasse, et faites-les bien revenir.

Lorsque la viande est bien colorée, ajoutez la sauce soja, le sucre et l'eau. Couvrez et laissez mijoter le temps que le caramel se forme bien autour des morceaux de porc, en remuant à intervalles réguliers. Servez bien chaud.",N'hésitez pas à rajouter des cacahuètes dans le plat !,Calories,"269,298",kcal,,,,Glucides,"1,5",g,,,,,,,,,,,,,,,,,,,,
,"62,5",ml,Eau,,,,Protéines,"22,7832",g,,,,Calcium,"13,26",mg,,,,,,,,,,,,,,,,,,,,
,5,g,Sucre,Épicerie,,,Lipides,"17,504",g,,,,Vitamines C,"0,42",mg,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Sauce soja,Épicerie,,,Glucides,"5,2632",g,,Haricots rouges,100 g,Calories,314,kcal,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"7,5265",mg,,,,Protéines,"22,5",g,,,,,,,,,,,,,,,,,,,,
,,,,,,,Vitamines C,0,mg,,,,Lipides,"1,06",g,,,,,,,,,,,,,,,,,,,,
Bœuf façon Strogonoff,120,g,Bœuf,Boucherie,"Lavez les champignons et coupez-les en lamelles. Pelez les échalotes et les oignons, puis hachez-les. Découpez la viande en lanières de taille moyenne.

Dans une sauteuse, faites dorer rapidement les morceaux de viande avec l'huile d'olive. Lorsque la viande est dorée, ajoutez les oignons, les échalotes et les champignons, et faites revenir le tout jusqu'à ce que l'ensemble soit cuit. Ajoutez la crème fraîche et le paprika. Assaisonnez. Couvrez la marmite, et laissez mijoter pendant 5 minutes. Servez chaud.",N'hésitez pas à ajouter de la moutarde à l'ancienne avec la crème !,Calories,"583,835",kcal,,,,Glucides,"46,1",g,,,,,,,,,,,,,,,,,,,,
,50,g,Champignons de Paris,Primeur ou producteur,,,Protéines,"26,29825",g,,,,Calcium,83,mg,,,,,,,,,,,,,,,,,,,,
,"0,5",,Échalotes,Primeur ou producteur,,,Lipides,"50,269",g,,,,Vitamines C,"4,5",mg,,,,,,,,,,,,,,,,,,,,
,"0,25",,Oignons,Primeur ou producteur,,,Glucides,"5,30725",g,,Galette de blé,"58,3 g",Calories,"90,948",kcal,,,,,,,,,,,,,,,,,,,,
,1,c. à s.,Huile d'olive,Épicerie,,,Calcium,"62,8155",mg,,,,Protéines,"3,46885",g,,,,,,,,,,,,,,,,,,,,
,50,ml,Crème fraîche épaisse,Épicerie,,,Vitamines C,"3,43525",mg,,,,Lipides,"0,88033",g,,,,,,,,,,,,,,,,,,,,
,"0,5",c. à c.,Paprika,Épicerie,,,,,,,,,Glucides,"16,4406",g,,,,,,,,,,,,,,,,,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Calcium,"12,5928",mg,,,,,,,,,,,,,,,,,,,,
