Recette,Quantité(s),,Produit(s),Magasin(s),Instructions pour la recette,Pimpage,Apports nutritifs,,,,Aliment,Poids,Apports nutritifs,,,Commentaires,,,,,,,,,,,,,,,Pancakes avec garnitures,,,,Épicierie
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Calcium,"313,70575",mg,,,,Vitamines C,"0,018",mg,,,,,,,,,,,,,,,,Fougasse,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Vitamines C,"6,912",mg,,1 c. à c. Piment d'espelette,"1,9 g",Calories,"0,8455",kcal,,,,,,,,,,,,,,,,Bruschetta tomate-basilic,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Protéines,"0,03553",g,,,,,,,,,,,,,,,,Blinis et garnitures,,,,
Salade de concombre à la crème,"0,5",,Concombres,Primeur ou producteur,"Nettoyez et coupez-les concombres en fines rondelles, sans les éplucher. Réservez.

Mélangez la crème fraîche épaisse et le jus de citron dans un bol. Nettoyez et ciselez la ciboulette. Mélangez-la à la crème et aux concombres. Salez et poivrez à votre goût. ",Servez la salade avec des tranches de pain grillées au feu de bois,Calories,"625,725",kcal,,,,Lipides,"0,00608",g,,,,,,,,,,,,,,,,Légumes à croquer et garnitures,,,,
,200,ml,Crème fraîche épaisse,Fromagerie,,,Protéines,"6,889",g,,,,Glucides,"0,1463",g,,,,,,,,,,,,,,,,Salade d'épeautre,,,,
,"0,25",bottes,Ciboulette fraîche,Primeur ou producteur,,,Lipides,"61,36015",g,,,,Calcium,"0,266",mg,,,,,,,,,,,,,,,,Salade de riz,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Glucides,"9,1985",g,,,,Vitamines C,"2,945",mg,,,,,,,,,,,,,,,,Salade de lentilles,,,,
,,,Sel & Poivre,Épicerie,,,Calcium,"215,785",mg,,1 c. à c. Herbes de provence,3 g,Calories,"8,49",kcal,,,,,,,,,,,,,,,,Salade de pâtes,,,,
,,,,,,,Vitamines C,"28,293",mg,,,,Protéines,"0,345",g,,,,,,,,,,,,,,,,Salade niçoise,,,,
Salade de chou et pommes,"0,5",,Pommes,Primeur ou producteur,"Coupez le chou et les oignons verts très finement et les mettre dans un saladier. Pelez les pommes, enlevez le cœur, les émincer et les ajouter au saladier.

Mélangez l'huile d'olive, le vinaigre, le jus de citron, le sel et le poivre. Versez la vinaigrette dans le saladier et bien mélanger. Vérifiez l'assaisonnement.",Ajoutez des noix à la salade !,Calories,"162,8",kcal,,,,Lipides,"0,216",g,,,,,,,,,,,,,,,,Salade grecque,,,,
,"0,1",,Choux blancs ou rouges,Primeur ou producteur,,,Protéines,"2,33565",g,,,,Glucides,"0,69",g,,,,,,,,,,,,,,,,Minestrone,,,,
,"0,15",,Oignons,Primeur ou producteur,,,Lipides,"8,14565",g,,,,Calcium,"55,8",mg,,,,,,,,,,,,,,,,Buddha bowl,,,,
,"0,5",c. à s. ,Huile d'olive,Épicerie,,,Glucides,"17,08225",g,,,,Vitamines C,"1,62",mg,,,,,,,,,,,,,,,,Pâtes à la sauce tomate faite maison,,,,
,"0,25",c. à s. ,Vinaigre,Épicerie,,,Calcium,"86,96575",mg,,1 c. à s. Jus de citron,14 g,Calories,"4,2",kcal,,,,,,,,,,,,,,,,Pâtes aux champignons,,,,
,"0,25",c. à s. ,Jus de citron,Primeur ou producteur,,,Vitamines C,"74,838",mg,,,,Protéines,"0,056",g,,,,,,,,,,,,,,,,Pâtes à la carbonara,,,,
,,,Sel & Poivre,Épicerie,,,,,,,,,Lipides,"0,0406",g,,,,,,,,,,,,,,,,Pâtes au pesto,,,,
Salade de poulet bressane,"0,25",,Céleris en branche,Primeur ou producteur,Coupez le céleri en petits dés et les blancs de poulet fumés en petits dés. Mélangez le tout dans un saladier avec la mayonnaise. Assaisonnez à souhait.,Ajoutez de la pomme ou des fruits secs !,Calories,"268,275",kcal,,,,Glucides,"0,854",g,,,,,,,,,,,,,,,,Pâtes à la bolognaise,,,,
,100,g,Blanc de poulet fumé,Rôtisserie,,,Protéines,"30,229",g,,,,Calcium,"1,54",mg,,,,,,,,,,,,,,,,Gratin de pâtes,,,,
,1,c. à s. ,Mayonnaise,Épicerie,,,Lipides,"13,2775",g,,,,Vitamines C,"3,472",mg,,,,,,,,,,,,,,,,Aubergines farcies,,,,
,,,Sel & Poivre,Épicerie,,,Glucides,"6,093",g,,1 c. à s. Cacao en poudre,8 g,Calories,"30,96",kcal,suisse,,,,,,,,,,,,,,,Courgettes farcies,,,,
